subject,base,trial,sex,style,modality,level,age_years,height_cm,mass_kg,bmi_kg_m2,practice_years,grade,dominant_guard,metric,value,window,family,joint,axis,stat,unit
ID005,ZEN,2,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.450185675357997,pre_strike,com,,,,m
ID005,ZEN,3,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4106113169664601,pre_strike,com,,,,m
ID005,ZEN,4,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4388840287799418,pre_strike,com,,,,m
ID005,ZEN,5,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.45971261014301,pre_strike,com,,,,m
ID005,KOK,1,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4797994194546311,pre_strike,com,,,,m
ID005,KOK,2,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.442284805040099,pre_strike,com,,,,m
ID005,KOK,3,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4559103195145594,pre_strike,com,,,,m
ID005,KOK,4,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4955294009330349,pre_strike,com,,,,m
ID005,KOK,5,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4922760359397584,pre_strike,com,,,,m
ID005,KIB,1,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4550558486304227,pre_strike,com,,,,m
ID005,KIB,2,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4799815432558162,pre_strike,com,,,,m
ID005,KIB,3,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4795948657565442,pre_strike,com,,,,m
ID005,KIB,4,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4860417885076709,pre_strike,com,,,,m
ID005,KIB,5,M,Shotokan,Kumite,International,21,167.5,70.9,25.4,13,1 Dan,Left,pre_com_x_mean_m,0.4696188222117527,pre_strike,com,,,,m
ID006,ZEN,1,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.4044337816943161,pre_strike,com,,,,m
ID006,ZEN,2,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.3945652363544882,pre_strike,com,,,,m
ID006,ZEN,3,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.4192395659807343,pre_strike,com,,,,m
ID006,ZEN,4,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.396683739600161,pre_strike,com,,,,m
ID006,ZEN,5,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.4393023259921124,pre_strike,com,,,,m
ID006,KOK,1,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5404932571672525,pre_strike,com,,,,m
ID006,KOK,2,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5334579984095708,pre_strike,com,,,,m
ID006,KOK,3,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5675386624643601,pre_strike,com,,,,m
ID006,KOK,4,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5223608166174153,pre_strike,com,,,,m
ID006,KOK,5,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5224737624167508,pre_strike,com,,,,m
ID006,KIB,1,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.510731032389204,pre_strike,com,,,,m
ID006,KIB,2,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5017963253118738,pre_strike,com,,,,m
ID006,KIB,3,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5641531697629285,pre_strike,com,,,,m
ID006,KIB,4,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.5463645973583902,pre_strike,com,,,,m
ID006,KIB,5,F,Goju-Ryu,Kumite,International,22,158.0,56.6,22.7,10,1 Dan,Left,pre_com_x_mean_m,0.4569136397333672,pre_strike,com,,,,m
ID007,ZEN,1,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3782737858177744,pre_strike,com,,,,m
ID007,ZEN,2,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3781937700557661,pre_strike,com,,,,m
ID007,ZEN,3,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3574087013544896,pre_strike,com,,,,m
ID007,ZEN,4,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3669562136279871,pre_strike,com,,,,m
ID007,ZEN,5,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3647087577545029,pre_strike,com,,,,m
ID007,KOK,1,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.4317299006066323,pre_strike,com,,,,m
ID007,KOK,2,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.4406404342246692,pre_strike,com,,,,m
ID007,KOK,3,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.4474414126000252,pre_strike,com,,,,m
