subject,base,trial,filtered,rate_hz,n_frames,duration_s,sex,static_com_x_mean_m,static_com_y_mean_m,static_com_z_mean_m,static_com_ml_range_cm,static_com_ap_range_cm,static_com_z_range_cm,static_com_ml_rms_cm,static_com_ap_rms_cm,static_com_path_length_cm
ID006,STATIC,1,True,180.0,360,1.9944444444444445,F,0.39924422560232575,0.28126012641522186,0.7791975941047665,0.10885676197767147,0.2230202584530383,0.13298370007654992,0.02523433695555497,0.07025130602028695,1.7833526260275543
ID007,STATIC,1,True,180.0,360,1.9944444444444445,F,0.4175952383388432,0.3424796936336681,0.8285438629439461,0.0850348953497726,0.30128222905934643,0.18431228585223947,0.019688333537851647,0.07683336311978273,2.1894978504799374
ID008,STATIC,1,True,180.0,360,1.9944444444444445,F,0.4322685021459747,0.38821228666458374,0.7622137837522751,0.1359594990351931,0.4965701136221745,0.06968909422628844,0.02340498870660796,0.11866088443032903,2.140763658866376
ID009,STATIC,1,True,180.0,360,1.9944444444444445,F,0.3941993295603625,0.3240142752150765,0.7416370421559125,0.2791594962193278,0.7534225662196858,0.1269634000978015,0.06310778795176987,0.21630870484710646,2.0656808139096166
ID010,STATIC,1,True,180.0,360,1.9944444444444445,F,0.436507448374801,0.3607073890450891,0.8270805968263637,0.07596922347147261,0.5336899104363413,0.1458762021665727,0.01724090571395319,0.17558008862914284,2.010953814285207
ID011,STATIC,1,True,180.0,360,1.9944444444444445,M,0.4301974623667044,0.2977363464787661,0.9391671934970367,0.14313833150846333,0.5299520550047732,0.1408390168764151,0.03175503242617751,0.17374068195180203,2.3648251802943303
ID012,STATIC,1,True,180.0,360,1.9944444444444445,F,0.47959309913506365,0.2758497486273787,0.7816208804440644,0.13312616716213976,0.16307790894056207,0.07571166644431138,0.025975072452237666,0.031023412303034893,1.9578931267992021
ID013,STATIC,1,True,180.0,360,1.9944444444444445,F,0.439453971921893,0.24205586092919462,0.7980115886790612,0.07905902123958586,0.6407328023863013,0.1398973666490333,0.013284087586920663,0.18141144130285072,2.154314099554319
ID014,STATIC,1,True,180.0,360,1.9944444444444445,F,0.4188840989499921,0.2835160984367724,0.8168634091140781,0.20598664172943315,0.2601509989240136,0.14151703878046984,0.056332630246744994,0.06834809655569027,1.8511538395694058
