subject,base,trial,filtered,n_frames,rate_hz,duration_s,status,strike_peak_time_s,strike_peak_speed_mps,v3d_com_offset_mm
ID003,ZEN,1,True,1620,180.0,8.994444444444444,ok,4.55,7.215785925831471,10.01468453666222
ID003,ZEN,2,True,1620,180.0,8.994444444444444,ok,3.861111111111111,7.668565002927724,9.362665637625556
ID003,ZEN,3,True,1620,180.0,8.994444444444444,ok,4.188888888888889,7.516476503799568,9.16454005949681
ID003,ZEN,4,True,1620,180.0,8.994444444444444,ok,3.966666666666667,7.313964978960324,8.977637049020954
ID003,ZEN,5,True,1620,180.0,8.994444444444444,ok,4.038888888888889,7.514991033966499,9.374548879913496
ID003,KOK,1,True,1620,180.0,8.994444444444444,ok,4.266666666666667,6.8051007480393455,18.7453938851654
ID003,KOK,2,True,1620,180.0,8.994444444444444,ok,4.166666666666667,6.662562531070184,19.00442513231379
ID003,KOK,3,True,1620,180.0,8.994444444444444,ok,4.0,6.539055602496011,18.982333762803545
ID003,KOK,4,True,1620,180.0,8.994444444444444,ok,4.033333333333333,6.657330969206889,19.066887512912686
ID003,KOK,5,True,1620,180.0,8.994444444444444,ok,4.033333333333333,6.738529138337334,19.27777793770491
ID003,KIB,1,True,1620,180.0,8.994444444444444,ok,4.2555555555555555,7.0432313437806195,18.69288130573921
ID003,KIB,2,True,1620,180.0,8.994444444444444,ok,4.116666666666666,6.908717112051316,18.324498390869874
ID003,KIB,3,True,1620,180.0,8.994444444444444,ok,4.0,7.050186376634978,18.39691281469012
ID003,KIB,4,True,1620,180.0,8.994444444444444,ok,4.0055555555555555,6.864904275434093,20.277802716043627
ID003,KIB,5,True,1620,180.0,8.994444444444444,ok,4.155555555555556,6.871785840681528,19.560631347305716
ID004,ZEN,1,True,1620,180.0,8.994444444444444,ok,4.094444444444444,6.738521424899635,14.9123616394942
ID004,ZEN,2,True,1620,180.0,8.994444444444444,ok,4.188888888888889,6.359176102030123,14.564988645968631
ID004,ZEN,3,True,1620,180.0,8.994444444444444,ok,4.1,6.243570782446039,14.198238448210743
ID004,ZEN,4,True,1620,180.0,8.994444444444444,ok,4.233333333333333,6.29003710059202,14.432089482721452
ID004,ZEN,5,True,1620,180.0,8.994444444444444,ok,4.094444444444444,6.233580755043385,14.528360971231486
ID004,KOK,1,True,1620,180.0,8.994444444444444,ok,3.9944444444444445,6.891021702936914,16.497641590774958
ID004,KOK,2,True,1620,180.0,8.994444444444444,ok,4.361111111111111,6.515103100500041,17.696335350197245
ID004,KOK,3,True,1620,180.0,8.994444444444444,ok,4.1,6.719889203765876,17.227373393290673
ID004,KOK,4,True,1620,180.0,8.994444444444444,ok,4.188888888888889,6.536599134430424,17.33142169663778
ID004,KOK,5,True,1620,180.0,8.994444444444444,ok,4.15,6.848502035915497,17.47869716697184
ID004,KIB,1,True,1620,180.0,8.994444444444444,ok,4.2444444444444445,6.624468185302121,21.75516250376307
ID004,KIB,2,True,1620,180.0,8.994444444444444,ok,4.038888888888889,6.119486481180292,20.41648764263117
ID004,KIB,3,True,1620,180.0,8.994444444444444,ok,3.811111111111111,6.230324116034057,21.12527427674709
ID004,KIB,4,True,1620,180.0,8.994444444444444,ok,4.0055555555555555,6.2238045679565985,20.701442906571394
ID004,KIB,5,True,1620,180.0,8.994444444444444,ok,4.072222222222222,6.229220833496012,20.42806860399018
ID005,ZEN,1,True,1620,180.0,8.994444444444444,ok,3.7111111111111112,5.145609343148295,10.032751275233736
ID005,ZEN,2,True,1620,180.0,8.994444444444444,ok,3.75,5.177391566934956,10.611734138920983
ID005,ZEN,3,True,1620,180.0,8.994444444444444,ok,3.9,5.182144345952241,10.830105607743825
ID005,ZEN,4,True,1620,180.0,8.994444444444444,ok,4.055555555555555,5.111658981006108,10.24806308564133
ID005,ZEN,5,True,1620,180.0,8.994444444444444,ok,3.95,5.178948431961752,12.059509183778898
ID005,KOK,1,True,1620,180.0,8.994444444444444,ok,4.044444444444444,5.750055285184437,14.47565352369388
ID005,KOK,2,True,1620,180.0,8.994444444444444,ok,4.022222222222222,5.403032331666263,15.267694161919128
ID005,KOK,3,True,1620,180.0,8.994444444444444,ok,4.588888888888889,5.152017133207397,15.206038172348295
ID005,KOK,4,True,1620,180.0,8.994444444444444,ok,4.027777777777778,5.295139449154082,15.274662128879257
