subject,base,trial,n_samples,rate_hz,duration_s,has_plate_3,has_plate_4,n_plates,source_path_3,source_path_4,kuk_alias_applied
ID013,KOK,3,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_KOK_T3_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_KOK_T3_f_4.tsv,False
ID013,KOK,4,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_KOK_T4_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_KOK_T4_f_4.tsv,False
ID013,KOK,5,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_KOK_T5_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_KOK_T5_f_4.tsv,False
ID013,STATIC,1,2000,1000.0,1.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_STATIC_T1_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_STATIC_T1_f_4.tsv,False
ID013,ZEN,1,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T1_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T1_f_4.tsv,False
ID013,ZEN,2,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T2_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T2_f_4.tsv,False
ID013,ZEN,3,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T3_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T3_f_4.tsv,False
ID013,ZEN,4,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T4_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T4_f_4.tsv,False
ID013,ZEN,5,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T5_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID013_ZEN_T5_f_4.tsv,False
ID014,KIB,1,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T1_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T1_f_4.tsv,False
ID014,KIB,2,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T2_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T2_f_4.tsv,False
ID014,KIB,3,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T3_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T3_f_4.tsv,False
ID014,KIB,4,9000,1000.0,8.999,True,True,2,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T4_f_3.tsv,/Users/judo365/Documents/MASTER ESPORTES/MESTRADO/Artigos/DATASET/Kinetic/ID014_KIB_T4_f_4.tsv,False
